"","YEAR","QBCatch","tonnes","annualEffort","totalEffort"
"1",1982,69024.8580348652,64.8833665527733,559393,609738.37
"2",1983,69989.7018719091,65.7903197595946,533728,581763.52
"3",1984,51888.2989521329,48.7750010150049,651088,709685.92
"4",1985,50723.3009855361,47.6799029264039,628516,685082.44
"5",1986,65101.5356903146,61.1954435488957,582971,635438.39
"6",1987,45229.4426746484,42.5156761141695,589631,642697.79
"7",1988,68429.8856069766,64.324092470558,655457,714448.13
"8",1989,73445.8191806902,69.0390700298488,603338,657638.42
"9",1990,57999.9334188579,54.5199374137265,525254,572526.86
"10",1991,66266.5962184946,62.2906004453849,452379,493093.11
"11",1992,52630.9875618049,49.4731283080966,459328,500667.52
"12",1993,38549.2780678885,36.2363213838152,498026,542848.34
"13",1994,59897.4030561653,56.3035588727954,440744,480410.96
"14",1995,45542.1894843168,42.8096581152578,323642,352769.78
"15",1996,45261.5832936765,42.5458882960559,288736,314722.24
"16",1997,36687.6579304476,34.4863984546208,272843,297398.87
"17",1998,37900.2826894073,35.6262657280429,166857,181874.13
"18",1999,29837.8435507624,28.0475729377166,163425,178133.25
"19",2000,45191,42.47954,201870,201870
"20",2001,37708,35.44552,214568,214568
"21",2002,21532,20.24008,228035,228035
"22",2003,15280,14.3632,197227,197227
"23",2004,12322,11.58268,153998,153998
"24",2005,8111,7.62434,128916,128916
"25",2006,10387,9.76378,131295,131295
"26",2007,9909,9.31446,134161,134161
"27",2008,9016,8.47504,113111,113111
"28",2009,12637,11.87878,134328,134328
"29",2010,9578,9.00332,102992,102992
"30",2011,9637,9.05878,132874,132874
"31",2012,11892,11.17848,134617,134617
"32",2013,15566,14.63204,164466,164466
"33",2014,6007,5.64658,132320,132320
"34",2015,8823,8.29362,192812,192812
"35",2016,10348,9.72712,166624,166624
"36",2017,15352,14.43088,190247,190247
"37",2018,11332,10.65208,192205,192205
"38",2019,17148,16.11912,139873,139873
"39",2020,13227,12.43338,114180,114180
